id,phrase
900,还没有
901,还没有
902,还没有
903,还没有
904,还没有
905,还没有
906,还没有
907,还没有
908,还没有
909,还没有
910,还没有
911,还没有
912,还没有
913,还没有
914,还没有
915,还没有
916,还没有
917,还没有
918,还没有
919,还没有
920,还没有
921,还没有
922,还没有
923,还没有
924,还没有
925,还没有
926,还没有
927,还没有
928,还没有
929,还没有
930,还没有
931,还没有
932,还没有
933,还没有
934,还没有
935,还没有
936,还没有
937,还没有
938,还没有
939,还没有
940,还没有
941,还没有
942,还没有
943,还没有
944,还没有
945,还没有
946,还没有
947,还没有
948,还没有
949,还没有
950,还没有
951,还没有
952,还没有
953,还没有
954,还没有
955,还没有
956,还没有
957,还没有
958,还没有
959,还没有
960,还没有
961,还没有
962,还没有
963,还没有
964,还没有
965,还没有
966,还没有
967,还没有
968,还没有
969,还没有
970,还没有
971,还没有
972,还没有
973,还没有
974,还没有
975,还没有
976,还没有
977,还没有
978,还没有
979,还没有
980,还没有
981,还没有
982,还没有
983,还没有
984,还没有
985,还没有
986,还没有
987,还没有
988,还没有
989,还没有
990,还没有
991,还没有
992,还没有
993,还没有
994,还没有
995,还没有
996,还没有
997,还没有
998,还没有
999,还没有
